ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. JM-059 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Спортивные штаны на 2 года,длина 54 см,шаговый 33 см,ширина 28 см Спортивные штаны на 3 года,длина 57 см,шаговый 35 см,ширина 30 см Спортивные штаны на 4 гогда,длина 60 см,шаговый 38 см,ширина 33 см Спортивные штаны на 5 лект,длина 64 см,шаговый 43 см,ширина 34 см Спортивные штаны на 6 лет,длина 68 см,шаговый 45 см,ширина 35 см Спортивные штаны на 7 лет,длина 70 см,шаговый 47 см,ширина 36 см ;360;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-059.html;https://junior35.ru/assets/images/products/4016/prod/56.jpg https://junior35.ru/assets/images/products/4016/prod/5601.jpg;"Размер: 2 - Остаток: 4;Размер: 3 - Остаток: 1"
;Арт. JM-067 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Штаны на 2 года,длина 53 см,шаговый 33 см,ширина 27 см Штаны на3 года,длина 57 см,шаговый 36 см,ширина 30 см Штаны на 4 года,длина 59 см,шаговый 39 см,ширина 33 см Штаны на 5 лет,длина 61 см,шаговый 40 см,ширина 35 см Штаны на 6 лет,длина 65 см,шаговый 44 см,ширина 37 см Штаны на 7 лет,длина 70 см,шаговый 46 см,ширина 39 см ;360;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-067.html;https://junior35.ru/assets/images/products/4039/prod/69.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 4;Размер: 4 - Остаток: 5"
;Арт. JM-068 Спортивные штаны Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters  ;360;15;https://junior35.ru/sportivnyie-shtanyi-jumping-meters-/-art.-jm-068.html;https://junior35.ru/assets/images/products/4040/prod/72.jpg;"Размер: 3 - Остаток: 5"
;Арт. AB-060 Свитшот Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty Свитшот на 2 года,длина 40 см,ширина 31 см,длина рукава 40 см Свитшот на 3 года,длина 44 см,ширина 32 см,длина рукава 45 см Свитшот на 4 года,длина 46 см,ширина 33 см,длина рукава 47 см Свитшот на 5 лет,длина 48 см,ширина 34 см,длина рукава 50 см Свишот на 6 лет,длина 50 см,ширина 35 см,длина рукава 52 см Свитшот на 7 лет,длина 52 см,ширина 36 см,длина рукава 56 см ;325;15;https://junior35.ru/svitshot-aosta-betty-/-art.-ab-060.html;https://junior35.ru/assets/images/products/4117/prod/043.jpg;"Размер: 7 - Остаток: 1"
;Арт. MW-1558 Футболка с длинным рукавом Malwee;Материал: 100 % хлопок Бренд: Malwee Футболка на 2 года,длина 37 см,ширина 33 см,длина рукава 34 см Футболка на 3 года,длина 40 см,ширина 35 см,длина рукава 36см Футболка на 4 года,длина 42 см,ширина 36 см,длина рукава 38 см Футболка на 5 лет,длина 45 см,ширина 38 см,длина рукава 41 см Футболка на 6 лет,длина 47 см,ширина 40 см,длина рукава 44 см Футболка на 7 лет,длина 50 см,ширина 42 см,длина рукава 48 см ;270;15;https://junior35.ru/futbolka-s-dlinnyim-rukavom-malwee-/-art.-mw-1558.html;https://junior35.ru/assets/images/products/4130/prod/322.jpg;"Размер: 2 - Остаток: 3"
;Арт. MW-1560 Свитшот Malwee;Материал: 100 % хлопок Бренд: Malwee 4 года- длина 42 см, ширина 35 см, рукав  41 см 5 лет- длина 44 см, ширина 38 см, рукав  44 см 6 лет- длина 46 см, ширина 41 см, рукав  46 см 7 лет- длина 49 см, ширина 43 см,рукав  49 см ;320;15;https://junior35.ru/svitshot-malwee-/-art.-mw-1560.html;https://junior35.ru/assets/images/products/4132/prod/324.jpg;"Размер: 2 - Остаток: 4;Размер: 3 - Остаток: 2"
;Арт. MW-1573 Свитшот Malwee;Материал: 100 % хлопок Бренд: Malwee Свитшот на 2 года,длина 36 см,ширина 32 см,длина рукава 36 см Свитшот на 3 года,длина 38 см,ширина 35 см,длина рукава 38 см Свитшот на 4 года,длина 40 см,ширина 37 см,длина рукава 40 см Свтшот на 5 лет,длина 45 см,ширина 39 см,длина рукава 45 см Свитшот на 6 лет,длина 48 см,ширина 42 см,длина рукава 47 см Свитшот на 7 лет,длина 52 см,ширина 46 см,длина рукава 49 см ;325;15;https://junior35.ru/svitshot-malwee-/-art.-mw-1573.html;https://junior35.ru/assets/images/products/4144/prod/335.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 2"
;Арт. S-111 Носки (упаковка, 5 шт.);Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-111.html;https://junior35.ru/assets/images/products/4155/prod/29.jpg;"Размер: S(0-1г) - Остаток: 9;Размер: M(1-3г) - Остаток: 2;Размер: L(4-6л) - Остаток: 1;Размер: XL(7-9л) - Остаток: 7"
;Арт. S-109 Носки (упаковка, 5 шт.);Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-109.html;https://junior35.ru/assets/images/products/4153/prod/27.jpg;"Размер: S(0-1г) - Остаток: 9"
;Арт. S-105 Носки (упаковка, 5 шт.);Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-105.html;https://junior35.ru/assets/images/products/4149/prod/23.jpg;"Размер: S(0-1г) - Остаток: 14;Размер: M(1-3г) - Остаток: 6"
