ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. LM-1107 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;330;15;https://junior35.ru/plate-little-maven-/-art.-lm-1107.html;https://junior35.ru/assets/images/products/2441/prod/2287.jpg;"Размер: 2 - Остаток: 8"
;Арт. S-033 Носки (1 шт.);Материал: 85% хлопок, 10% полиамид, 5% эластен Бренд: Socks Страна бренда: Китай  ;45;15;https://junior35.ru/catalog/socks/noski__1_sht_art_s033;https://junior35.ru/assets/images/products/2719/prod/42.jpg;"Размер: 8-12 - Остаток: 29"
;Арт. LM-706 Платье Little Maven;Материал: 100% хлопок Страна бренда: США  ;370;15;https://junior35.ru/plate-little-maven-/-art.-lm-706.html;https://junior35.ru/assets/images/products/1457/prod/706.jpg;"Размер: 5 - Остаток: 3"
;Арт. LM-1009 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;280;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm1009;https://junior35.ru/assets/images/products/2238/prod/2081.jpg;"Размер: 2 - Остаток: 1"
;Арт. MW-1147 Толстовка Malwee;Материал: 100 % хлопок Бренд: Malwee  ;260;15;https://junior35.ru/catalog/jumpingbeans/tolstovka_malwee_art_mw1147;https://junior35.ru/assets/images/products/2751/prod/74.jpg;"Размер: 2 - Остаток: 1"
;Арт. LM-1018 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;250;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm1018;https://junior35.ru/assets/images/products/2247/prod/2282.jpg;"Размер: 2 - Остаток: 10"
;Арт. JM-002 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай  ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters__art_jm002;https://junior35.ru/assets/images/products/3532/prod/2.jpg https://junior35.ru/assets/images/products/3532/prod/2001.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 6;Размер: 4 - Остаток: 4;Размер: 5 - Остаток: 2;Размер: 6 - Остаток: 4;Размер: 7 - Остаток: 1"
;Арт. LM-1401 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;350;15;https://junior35.ru/catalog/littlemaven/plate__little_maven_art_lm1401;https://junior35.ru/assets/images/products/3276/prod/100.jpg;"Размер: 2 - Остаток: 5"
;Арт. JM-001 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 46 см,шаговый 30 см,ширина 22 см Лосины на 3 года,длина 52 см,шаговый 35 см,ширина 23 см Лосины на 4 года,длина 57 см,шаговый 40 см,ширина 24 см Лосины на 5 лет,длина 62 см,шаговый 44 см,ширина 25 см Лосины на 6 лет,длина 67 см,шаговый 47 см,ширина 26 см Лосины на 7 лет,длина 72 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters__art_jm001;https://junior35.ru/assets/images/products/3531/prod/1.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 3;Размер: 6 - Остаток: 1"
;Арт. LM-1493 Юбка Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США 3 года- длина 23 см, ширина 24 см 4 года- длина 25 см, ширина 25 см 5 лет- длина 26 см, ширина 26 см 6 лет- длина 27 см, ширина 27 см 7 лет- длина 28 см, ширина 28 см ;260;15;https://junior35.ru/catalog/littlemaven/yubka__little_maven__art_lm1493;https://junior35.ru/assets/images/products/3528/prod/195.jpg;"Размер: 3 - Остаток: 2"
;Арт. LM-1397 Сарафан Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Платье на 2 года,длина 50 см,ширина 28 см Платье на 3 года,длина 52 см,ширина 29 см Платье на 4 года,длина 54 см,ширина 30 см Платье на 5 лет,длина 57 см,ширина 31 см Платье на 6 лет,длина 59 см,ширина 32 см Платье на 7лет,длина 62 см,ширина 34 см ;350;15;https://junior35.ru/catalog/littlemaven/sarafan__little_maven_art_lm1397;https://junior35.ru/assets/images/products/3272/prod/72.jpg;"Размер: 2 - Остаток: 5;Размер: 3 - Остаток: 2"
;Арт. JM-006 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 46 см,шаговый 28 см,ширина 22 см Лосины на 3 года,длина 51 см,шаговый 34 см,ширина 23 см Лосины на 4 года,длина 57 см,шаговый 40 см,ширина 24 см Лосины на 5 лет,длина 62 см,шаговый 44 см,ширина 25 см Лосины на 6 лет,длина 67 см,шаговый 47 см,ширина 26 см Лосины на 7 лет,длина 71 см,шаговый 50 см,ширина 27 см ;240;15;https://junior35.ru/catalog/jm/losiny_jumping_meters_art_jm006;https://junior35.ru/assets/images/products/3536/prod/6.jpg https://junior35.ru/assets/images/products/3536/prod/6001.jpg;"Размер: 3 - Остаток: 2"
;Арт. JM-005 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 46 см,шаговый 28 см,ширина 22 см Лосины на 3 года,длина 50 см,шаговый 32 см,ширина 23 см Лосины на 4 года,длина 56 см,шаговый 37 см,ширина 24 см Лосины на 5 лет,длина 62 см,шаговый 42 см,ширина 25 см Лосины на 6 лет,длина 66 см,шаговый 46 см,ширина 26 см Лосины на 7 лет,длина 69 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters__art_jm005;https://junior35.ru/assets/images/products/3535/prod/5.jpg https://junior35.ru/assets/images/products/3535/prod/501.jpg;"Размер: 3 - Остаток: 3;Размер: 4 - Остаток: 2"
;Арт. JM-004 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 45 см,шаговый 28 см,ширина 22 см Лосины на 3 года,длина 50 см,шаговый 34 см,ширина 23 см Лосины на 4 года,длина 57 см,шаговый 38 см,ширина 24 см Лосины на 5 лет,длина 61 см,шаговый 44 см,ширина 25 см Лосины на 6 лет,длина 66 см,шаговый 46 см,ширина 26 см Лосины на 7 лет,длина 72 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters__art_jm004;https://junior35.ru/assets/images/products/3534/prod/4.jpg https://junior35.ru/assets/images/products/3534/prod/4001.jpg;"Размер: 2 - Остаток: 2;Размер: 7 - Остаток: 1"
;Арт. JM-003 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай Лосины на 2 года,длина 45 см,шаговый 29 см,ширина 22 см Лосины на 3 года,длина 52 см,шаговый 34 см,ширина 23 см Лосины на 4 года,длина 57 см,шаговый 40 см,ширина 24 см Лосины на 5 лет,длина 61 см,шаговый 43 см,ширина 25 см Лосины на 6 лет,длина 66 см,шаговый 47 см,ширина 26 см Лосины на 7 лет,длина 70 см,шаговый 50 см,ширина 27 см ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters__art_jm003;https://junior35.ru/assets/images/products/3533/prod/3.jpg https://junior35.ru/assets/images/products/3533/prod/3001.jpg;"Размер: 3 - Остаток: 1;Размер: 4 - Остаток: 1"
;Арт. JM-010 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters Страна бренда: Китай  ;245;15;https://junior35.ru/catalog/jm/losiny_jumping_meters_art_jm010;https://junior35.ru/assets/images/products/3540/prod/11.jpg https://junior35.ru/assets/images/products/3540/prod/1101.jpg;"Размер: 2 - Остаток: 5;Размер: 3 - Остаток: 4;Размер: 4 - Остаток: 5;Размер: 5 - Остаток: 2;Размер: 6 - Остаток: 1;Размер: 7 - Остаток: 1"
